ID,workID,number,type
4,9,0722-9844,1
24,34,0570-622X,1
27,39,0194-3413,1
35,52,0758-9670,1
36,53,0570-6270,1
37,54,0337-0267,1
39,58,0750-1099,1
43,73,0249-664X,1
44,74,1141-135X,1
49,80,0035-6603,1
78,807,8386956283,2
79,809,0470844086,2
84,816,3927688002,2
85,818,0708317529,2
86,819,063122260X,2
88,823,0415253179,2
89,825,8843579053,2
91,827,8882651940,2
94,831,8885007554,2
95,833,0520068645,2
97,844,2877540669,2
98,845,2877540685,2
99,846,287754074X,2
100,847,2877540677,2
101,849,2877540588,2
103,852,2877540693,2
104,853,2877540626,2
105,854,2877540561,2
106,855,2877540553,2
107,801,2877540707,2
108,8,0075-4358,1
109,856,3786119236,2
110,860,0520081625,2
111,862,019814735X,2
112,864,019509882X,2
115,867,0415273102,2
118,872,193170726X,2
120,886,9652081078,2
121,873,8478190473,2
122,897,582680601X,2
123,898,1841713082,2
124,900,2869581637,2
125,902,0486420094,2
126,903,1841714496,2
127,905,1841714402,2
128,906,0876615329,2
129,908,1841713120,2
130,909,032500479X,2
132,912,3774924864,2
134,916,9122019790,2
135,918,380621591X,2
136,919,9004130098,2
137,921,0966323416,2
138,922,3774928401,2
139,923,1840170441,2
140,924,1841714542,2
141,925,9170811911,2
142,926,0765610949,2
143,927,3487115808,2
144,94,0001-9046,1
145,930,0569-9746,1
146,112,0003-2468,1
147,866,0066-1554,1
148,116,0929-077X,1
149,118,0066-1619,1
151,932,0003-598X,1
154,931,0003-5815,1
155,933,1083-4141,1
156,141,0342-734X,1
157,934,8870629503,2
158,936,0631222731,2
163,943,8870629791,2
164,945,1571455760,2
165,946,1402002254,2
166,947,0563488034,2
167,948,0752414550,2
176,957,8870628558,2
178,959,8882650073,2
179,960,8882650189,2
180,961,8882651584,2
181,962,8882651843,2
182,964,8870629511,2
183,966,887062921X,2
184,968,8882652262,2
185,969,8882651835,2
187,972,8882650049,2
188,974,8882650723,2
189,975,8882651045,2
190,977,8882651053,2
193,979,8870062457,2
195,985,8870230740,2
196,987,3774929556,2
197,988,8870629805,2
198,989,8870627195,2
199,990,8870626539,2
201,992,0904152383,2
202,144,0392-0038,1
203,994,0261-3409,1
204,996,3406441076,2
209,1007,9073835011,2
210,1016,052139256X,2
211,1017,912200453X,2
212,1022,3760810829,2
213,1023,1871855152,2
214,1024,1899828478,2
215,1025,3110176882,2
216,1027,2877722325,2
217,1029,3884670638,2
218,1031,3774929661,2
219,1032,8484840433,2
220,1034,9529573243,2
221,1036,0199246971,2
222,1037,2744903604,2
223,1038,1841712876,2
224,1039,965221048X,2
225,1042,0904887219,2
226,1047,0904887391,2
227,1048,0905313232,2
228,1049,087586192X,2
229,1051,1850747164,2
230,1053,0953976211,2
231,1055,1842122436,2
232,1057,0827607504,2
233,1060,1887829504,2
234,1062,3805328559,2
235,1065,9057890720,2
236,1068,9004125248,2
237,1070,1861973756,2
238,1071,1885979053,2
239,1072,3805328478,2
